phrase,topics1,topics2,topics3,topics4,topics5,topics6,topics7
он не выдал деньги,Не выдал деньги (Local_Didnt_Give_Money),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
банкомат не выдал деньги,Банкоматы (Local_ATM),Не выдал деньги (Local_Didnt_Give_Money),УВ Проблемы с банкоматами (UV_ATM_Problems),,,,🞄21.07.2025
мне нужен специалист по брокерским счетам,Брокерский счет (Local_Brokerage),General Инвестиции (General_Investing),,,,,🞄21.07.2025
Найдена карта клиента 3м лицом ,General Разблокировать карту (General_UnBlock),,,,,,🞄21.07.2025
Украли / Потерял телефон,General Разблокировать карту (General_UnBlock),,,,,,🞄21.07.2025
Справка для гос служащего с наличием брокеских счетов,General Справка (General_Reference),Справка (Local_Reference),,,,,🞄21.07.2025
Не типовая справка,Вместо консультации на оператора,,,,,,🞄21.07.2025
Хамство оператора,Сотрудник банка (Local_Bank_Employee),УВ Заявление (UV_Statement),,,,,🞄21.07.2025
Оценка  сотрудника,Сотрудник банка (Local_Bank_Employee),УВ Заявление (UV_Statement),,,,,🞄21.07.2025
Претензия/Заявление,General Статус претензии (General_ClaimStat),,,,,,🞄21.07.2025
Жалоба,УВ Заявление (UV_Statement),,,,,,🞄21.07.2025
Не проходит оплата по карте | не проходит операция по карте | карта не проходит,General Карта не работает (General_Cardnotworking),,,,,,🞄21.07.2025
Несанкционированное списание/снятие,General Мошенничество_UNI (General_Fraud_UNI),,,,,,🞄21.07.2025
Мне не отвечают в чате | Долго отвечают в чате ,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
Ошибочно перевели на альфабанк ,Отменить перевод (Local_Cancel_Transfer_Payment),УВ Проблемы с переводами (UV_RemittanceProblems),,,,,🞄21.07.2025
Я отправила перевод со сбербанка на свой счет в АБ он нашел не тому человеку что мне делать,Вместо консультации на оператора,,,,,,🞄21.07.2025
Какую сумму я могу снять без комиссии в банкоматах,Лимиты (Local_Limits),УВ Лимит (UV_Limit),,,,,🞄21.07.2025
Какую сумму я могу снять без комиссии в банкоматах с дебетовой карты,General Лимит карты (General_CARD_LIMIT_UKD),Дебетовая карта (Local_Debit_Card),,,,,🞄21.07.2025
Купить билеты за мили,Вместо консультации на оператора,,,,,,🞄21.07.2025
Наличными оплатить можно без комиссии в офис банке,Вместо консультации на оператора,,,,,,🞄21.07.2025
Хочу узнать комиссию при оплате qr коду,General Платеж по QR (General_Payment_QR),,,,,,🞄21.07.2025
Вопрос по поводу кэшбек по тысячи рублей,Кэшбэк (Local_Cashback),General Условия категорийного КБ (General_Categorical_CashBack),,,,,🞄21.07.2025
Отменить комиссия за снятие наличных по кредитной карте,Комиссия (Local_Commission),УВ Заявление (UV_Statement),,,,,🞄21.07.2025
Комиссия за ведение валютного счета,Вместо консультации на оператора,,,,,,🞄21.07.2025
Добавить карту в приложение| привязать карту в приложение,Вместо консультации на оператора,,,,,,🞄21.07.2025
Добавить карту в телефон ,General Бесконтактная оплата (General_Pay),,,,,,🞄21.07.2025
Связаться с кредитным специалистом,Оператор (Operator),General Оператор (General_Operator),,,,,🞄21.07.2025
Связаться с кредитным отделом,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
Зарегистрировать /авторизовать карту,Вместо консультации на оператора,,,,,,🞄21.07.2025
Состояние карты,УВ Карта (UV_Card),Карта (Local_Card),,,,,🞄21.07.2025
Состояние счета ,УВ Счет (UV_Account),,,,,,🞄21.07.2025
График платежей по кредиту,Условия (Local_Conditions),УВ Кредит (UV_Credit),,,,,🞄21.07.2025
Какой номер телефона у меня привязан ,General Запрос кодового слова (General_Codeword_request),,,,,,🞄21.07.2025
Не работает приложение не могу закрыть счет счет не закрывается нужен оператор,General Закрытие счета (General_Account_Off),Отказаться (Local_Refuse),,,,,🞄21.07.2025
Блокировка мобайла/Онлайн,General Разблокировать карту (General_UnBlock),,,,,,🞄21.07.2025
Где забрать карту,General Готовность карт (General_TAKE_CARD),Готовность карт (CardReadiness),,,,,🞄21.07.2025
Где получить альфа карту,УВ Дебетовая карта (UV_Debitcard),Дебетовая карта (Local_Debit_Card),,,,,🞄21.07.2025
Заказать зарплатную карту,Вместо консультации на оператора,,,,,,🞄21.07.2025
Получить зарплатную карту|где зарплатная карта,General Готовность карт (General_TAKE_CARD),Готовность карт (CardReadiness),,,,,🞄21.07.2025
Привязать карту к телефону/в телефон,General Бесконтактная оплата (General_Pay),,,,,,🞄21.07.2025
Не могу зайти в приложение заблокирована карта,Вместо консультации на оператора,,,,,,🞄21.07.2025
Активировать детскую карту,General Активация (General_Activation),Активация (Local_Activate),,,,,🞄21.07.2025
Установить пин код на детскую карту,Вместо консультации на оператора,,,,,,🞄21.07.2025
Карту перевыпустить размагнитилась,General Карта не работает (General_Cardnotworking),,,,,,🞄21.07.2025
Снять деньги у операциониста| снять деньги в кассе/ в офисе,General Заказ денег УКД (General_ZAKAZ_DENGI_UKD),Заказ денег УКД (Local_Zakaz_Dengi_UKD),,,,,🞄21.07.2025
Отказ от рекламных звонков ,Реклама (Local_Advertising),УВ Заявление (UV_Statement),,,,,🞄21.07.2025
Не знаю номер карты/счета для входа в приложение,Временный пароль (Local_Temp_Password),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
Мне звонили оформили кредит (действие совершено),General Мошенничество_UNI (General_Fraud_UNI),,,,,,🞄21.07.2025
Не знаю сумму кредита,Условия (Local_Conditions),Кредит наличными (Про платеж) (Local_DIS_Credit),УВ Кредит (UV_Credit),,,,🞄21.07.2025
Партнерская программа,Вместо консультации на оператора,,,,,,🞄21.07.2025
Курьер не отдает карту ,General Курьерская доставка (General_Express_Delivery),Курьерская доставка (CourierDelivery),,,,,🞄21.07.2025
Сотрудник / менеджер не отдает карту ,Вместо консультации на оператора,,,,,,🞄21.07.2025
Заказать стикер к карте кредитной или кредитный стикер,Вместо консультации на оператора,,,,,,🞄21.07.2025
Заказать альфа стикер| Заказать стикер,General Платежные Стикеры (General_Payment_Stickers),,,,,,🞄21.07.2025
Заказал стикер ,УВ Карта (UV_Card),Карта (Local_Card),,,,,🞄21.07.2025
