phrase;topics1;topics2;topics3;topics4;topics5;;
он не выдал деньги;Не выдал деньги ( Local_DidntGive_Money);;;;;;
банкомат не выдал деньги;Банкоматы ( Local_ATM);Не выдал деньги ( Local_DidntGive_Money);;;;;
мне нужен специалист по брокерским счетам;Брокерский счет ( Local_Brokerage);General Инвестиции ( General_Investing);;;;;
Найдена карта клиента 3м лицом ;General Разблокировать карту ( General_UnBlock);;;;;;
Украли / Потерял телефон;General Разблокировать карту ( General_UnBlock);;;;;;
Справка для гос служащего с наличием брокеских счетов;Справка ( Local_Reference);General Справка ( General_Reference);;;;;
Не типовая справка;Вместо консультации на оператора;;;;;;
Хамство оператора;Сотрудник банка ( Local_Bank_Employee);;;;;;
Оценка  сотрудника;Сотрудник банка ( Local_Bank_Employee);;;;;;
Претензия/Заявление;General Статус претензии ( General_ClaimStat);;;;;;
Жалоба;УВ Заявление (UV_Statement);;;;;;
Не проходит оплата по карте / не проходит операция по карте / карта не проходит;Карта не работает ( General_Cardnotworking);;;;;;
Несанкционированное списание\снятие;General Мошенничество_UNI ( General_Fraud_UNI);;;;;;
Мне не отвечают в чате / Долго отвечают в чате ;Без вопроса ( General_Whithout_Question);;;;;;
Ошибочно перевели на банк ;Отменить перевод ( Local_Cancel_Transfer_Payment);;;;;;
Я отправила перевод со сбербанка на свой счет в банке он нашел не тому человеку что мне делать;Вместо консультации на оператора;;;;;;
Какую сумму я могу снять без комиссии в банкоматах;Лимиты ( Local_Limits);УВ Лимит (UV_Limit);;;;;
Какую сумму я могу снять без комиссии в банкоматах с дебетовой карты;Лимит карты ( General_CARD_LIMIT_UKD);Дебетовая карта ( Local_Debit_Card);;;;;
Купить билеты за мили;Вместо консультации на оператора;;;;;;
Наличными оплатить можно без комиссии в офис банке;Вместо консультации на оператора;;;;;;
Хочу узнать комиссию при оплате qr коду;General Платеж по QR ( General_Payment_QR);;;;;;
Вопрос по поводу кэшбек по тысячи рублей;Кэшбэк ( Local_Cashback);;;;;;
Отменить комиссия за снятие наличных по кредитной карте;Комиссия ( Local_Commission);;;;;;
Комиссия за ведение валютного счета;Вместо консультации на оператора;;;;;;
Добавить карту в приложение/ привязать карту в приложение;Вместо консультации на оператора;;;;;;
Добавить карту в телефон ;Бесконтактная оплата ( General_Pay);;;;;;
Связаться с кредитным специалистом;Оператор (Operator);General Оператор ( General_Operator);;;;;
Связаться с кредитным отделом;Без вопроса ( General_Whithout_Question);;;;;;
Зарегистрировать карту/авторизовать;Вместо консультации на оператора;;;;;;
Состояние карты;УВ Карта (UV_Card);Карта ( Local_Card);;;;;
Состояние счета ;УВ Счет (UV_Account);;;;;;
График платежей по кредиту;Условия ( Local_Conditions);;;;;;
Какой номер телефона у меня привязан ;Запрос кодового слова ( General_Codeword_request);;;;;;
Не работает приложение не могу закрыть счет счет не закрывается нужен оператор;General Закрытие счета ( General_Account_Off);Отказаться ( Local_Refuse);;;;;
Блокировка мобайла/Онлайн;General Разблокировать карту ( General_UnBlock);;;;;;
Где забрать карту;General Готовность карт ( General_TAKE_CARD) ;Готовность карт (CardReadiness);;;;;
Где получить  карту;УВ Дебетовая карта (UV_Debitcard);Дебетовая карта ( Local_Debit_Card);;;;;
Заказать зп карту;Вместо консультации на оператора;;;;;;
Получить зп карту\где зп карта;General Готовность карт ( General_TAKE_CARD) ;Готовность карт (CardReadiness);;;;;
Привязать карту к телефону\в телефон;Бесконтактная оплата ( General_Pay);;;;;;
Не могу зайти в приложение заблокирована карта;Вместо консультации на оператора;;;;;;
